title_year,budget,gross,actor_1_facebook_likes,high_score
2002,3000000,19184015,71,0
2010,20000000,12134420,17000,1
2006,63000000,70236496,12000,0
2010,2500000,99851,191,1
2010,7000000,453079,474,0
2015,3300000,25799043,10000,0
2012,31000000,93749203,18000,1
2014,13000000,38916903,803,0
1986,18500000,85200000,2000,1
1998,55000000,41609593,22000,1
2013,55000000,107100855,15000,1
2010,30000000,48043505,553,1
2007,11000000,1066555,482,0
1987,17000000,15681020,1000,0
2000,1000000,12996,2000,0
2006,13000000,4857376,12000,1
2008,20000000,33422556,22000,1
1992,12500000,10725228,18000,1
1991,24000000,41895491,12000,1
2015,35000000,75274748,22000,1
1999,15000000,130058047,18000,1
2007,25000000,35000629,1000,0
2010,25000000,183662,541,1
1998,2000000,6719300,912,1
2012,3000000,200803,536,0
2000,60000000,32522352,22000,1
1999,19000000,40846082,885,0
1998,75000000,36976367,548,0
1988,4000000,13008928,355,1
1989,16000000,92823600,227,1
1999,6000000,4859475,4000,1
1997,10000000,10200000,623,1
2009,6000000,6670712,3000,1
2002,6000000,20772796,446,1
1989,3000000,11642254,742,0
2009,13000000,51697449,607,0
1999,68000000,28965197,14000,1
2011,55000000,21283440,6000,0
2001,14000000,10397365,878,0
2005,60000000,82569532,12000,0
2004,1200000,55153403,2000,1
1999,30000000,15156200,258,0
1998,15000000,29106737,818,0
1998,27000000,14337579,3000,1
2005,8000000,77413017,11000,1
2001,6000000,2025238,244,0
1980,20000000,2000000,801,0
2004,17500000,23472900,3000,1
2015,20000000,2246000,2000,0
1990,26000000,91457688,743,0
1999,80000000,60507228,340,1
1991,5000000,19281235,901,0
2001,68000000,51396781,5000,1
2007,30000000,16930884,14000,0
2000,1000000,428535,844,0
1998,20000000,37672350,508,0
1998,3000000,24788807,773,1
2004,57000000,6768055,956,0
1999,12000000,175370,13000,0
2008,20000000,6563357,1000,0
1994,55000000,83000000,2000,0
2010,20000000,25077977,681,0
1998,25000000,32368960,285,0
2000,48000000,124107476,599,1
2004,12000000,71502303,912,1
2013,18000000,4435083,25000,1
1996,50000000,25407250,12000,0
2007,2200000,379643,861,0
2007,55000000,5755286,21000,0
2003,10000000,1011054,22000,1
2004,5000000,16066,811,0
2004,3000000,6517198,280,1
2000,48000000,37879996,3000,0
2001,4500000,3287435,11000,1
2002,13000000,28399192,477,0
2004,27000000,8712564,748,0
2013,1200000,3830,3,1
2001,19000000,10049886,17,1
1981,5000000,42365600,629,0
2006,16000000,39511038,20000,0
2008,15000000,7757130,65,1
2015,4000000,35385560,3000,0
2009,40000000,71347010,24000,1
1999,45000000,71423726,25000,1
2000,14000000,21468807,912,0
2002,20000000,1190018,23000,1
2008,27000000,87341380,11000,0
2004,695393,6013,680,1
1996,40000000,32800000,2000,0
2001,92000000,108638745,2000,1
2016,40000000,90835030,2000,0
1993,3000000,1200000,683,0
2005,15000000,23089926,19000,1
1983,12000000,79568000,2000,1
2002,78000000,92930005,22000,1
2008,55000000,35707327,11000,1
2008,8000000,108662,905,0
2002,85000000,40048332,672,0
2001,53000000,45207112,12000,0
1999,15000000,927107,177,1
1997,36000000,12339633,685,1
1993,35000000,4496583,848,1
1991,19000000,130727000,12000,1
1993,22000000,25842000,12000,1
1993,11500000,22954968,12000,1
2009,12000000,119922,52,1
2010,35000000,37481242,1000,0
2004,20000000,15712072,787,0
2012,70000000,36931089,11000,0
2006,400000,1689999,231,1
2016,11500000,35537564,22000,0
2012,4000000,4063,223,0
1998,70000000,74329966,11000,0
2015,35000000,109712885,13000,1
1998,24000000,4308981,23000,0
2004,50000000,41814863,613,0
2001,35000000,112692062,2000,0
1986,25000000,109713132,12000,1
2000,9000000,25530884,716,1
2012,1500000,1521,413,0
2012,30000000,66468315,23000,1
2004,26000000,23222861,1000,0
2000,46000000,70327868,23000,0
2016,3500000,123777,426,0
1995,53000000,91400000,18000,1
2005,87000000,26082914,287,0
1997,1000000,1950218,21000,0
2006,20000000,18843314,472,0
2007,4500000,871577,845,1
2000,5000000,34099640,1000,0
2009,60000000,43337279,10000,0
2000,15000000,5217498,477,0
1997,15000000,43022524,22000,1
1997,375000,617172,643,0
2009,17000000,9430988,925,1
1990,13000000,28501605,659,0
2007,12000000,214202,662,1
2006,50000000,2208939,177,1
2007,20000000,25584685,720,0
2000,25000000,71309760,541,1
2003,6000000,2207975,4000,1
2000,15000000,10494147,989,0
2007,9000000,8579684,22000,1
2012,58000000,49875589,1000,0
2010,20000000,45670855,723,0
2011,35000000,39026186,969,0
2012,500000,1332,552,0
1994,45000000,130512915,924,0
2006,50000000,61112916,21000,0
2002,8500000,28563926,931,0
1992,12000000,27281507,227,1
2010,60000000,31494270,10000,1
2006,26000000,5459824,14000,1
2002,9000000,4681503,1000,0
1995,50000000,13560960,12000,1
2010,10000000,8460995,1000,0
1988,7000000,49369900,130,0
2014,4000000,17314483,986,0
2010,4000000,3950029,186,1
2002,75000000,78120196,4000,1
2012,500000,151389,342,1
1995,30000000,24048000,18000,0
2007,60000000,4535117,26000,0
2009,6000000,4542775,373,0
1986,8000000,52287414,217,1
2001,7000000,13876974,307,1
1998,70000000,19819494,11000,0
2009,6500000,686383,61,1
2014,13000000,44134898,13000,1
1999,2000000,11533945,173,1
2002,17500000,325491,109,0
2013,23000000,25556065,19000,1
1999,16000000,38176108,23000,1
2008,11000000,37766350,664,1
2000,40000000,89138076,287,0
2006,54000000,75604320,277,0
2012,15000000,15608545,746,0
2001,22000000,5974653,2000,0
2002,25000000,38230435,744,0
1987,16000000,14792779,854,1
2001,48000000,93607673,8000,0
1998,12000000,22905674,13000,1
2008,18000000,5694401,27000,1
1982,2500000,14400000,381,0
1996,55000000,18573791,22000,0
1995,22000000,50728000,649,0
2015,8000000,3442820,1000,1
1998,3500000,10305534,625,0
1992,14400000,101157447,16000,1
2003,45000000,89808372,934,0
2000,57000000,15527125,13000,0
2000,11000000,13592872,8000,0
1991,40000000,70405498,433,1
2000,1200000,9180275,2000,1
2005,60000000,82931301,3000,0
2001,6000000,3029081,263,1
2010,20000000,60072596,2000,0
2012,427000,2833383,2000,0
1997,25000000,29247405,1000,0
2010,3000000,1028658,16000,0
1986,25000000,79817937,400,0
2007,45000000,24343673,5000,1
2001,700000,1141829,80,1
2002,36000000,71026631,18000,0
2010,35000000,59699513,826,1
2008,25000000,1089365,22000,0
2004,2700000,5792822,50,1
2007,30000000,3904982,11000,1
1996,890000,24475416,3000,1
2014,25000000,36447959,4000,0
2001,22000000,14252830,3000,0
2008,58000000,31199215,142,0
2000,65000000,14218868,889,0
2011,15000000,1357042,31000,1
1997,45000000,2154540,849,0
2013,30000000,22525921,12000,0
1999,65000000,29655590,1000,0
2006,45000000,6565495,879,0
1996,200000,4505922,4000,1
1997,80000000,112225777,12000,1
1995,1500000,7417210,3000,0
2008,70000000,39380442,29000,1
2015,1000000,62480,446,0
2011,2000000,12555230,120,0
2015,88000000,78747585,22000,0
2010,80000000,55673333,2000,0
2003,78000000,66462600,1000,0
2004,60000000,73701902,2000,0
1998,9000000,17096053,13000,1
2000,3000000,4142507,472,0
2004,26000000,58885635,3000,1
1997,30000000,35927406,663,0
2013,60000000,31165421,5000,0
2000,90000000,60874615,3000,0
2011,5000000,17683670,520,0
2006,38000000,40137776,8000,1
2007,14000000,61356221,997,0
2013,20000000,8888355,997,0
1994,2000000,5132222,991,1
2003,68000000,33685268,11000,0
2002,25000000,10719367,16000,0
1995,14000000,2474000,423,0
2006,200000,1111,2,1
2007,12000000,3950294,21000,0
2005,60000000,668171,489,0
2004,30000000,32774834,860,1
2002,50000000,126203320,12000,0
2006,40000000,81593527,23000,1
2003,10000000,365734,787,0
1986,25000000,11100000,400,1
1981,5500000,58800000,368,1
2008,200000,856942,375,1
2006,27000000,22494487,13000,1
1997,70000000,37901509,11000,0
1997,90000000,47474112,3000,0
2005,950000,1007962,109,1
2001,21150000,25590119,460,0
2009,22000000,12232937,969,0
2010,60000000,80574010,11000,0
2000,10000,673780,5,1
2008,35000000,7948159,3000,0
2013,1200000,2859955,890,0
2001,40000000,70836296,700,0
1989,69500000,54222000,2000,1
1996,40000000,108706165,18000,1
2006,84450000,617228,61,1
1998,30000000,23209440,11000,0
2005,22000000,22264487,591,0
1989,18000000,8508843,723,0
2001,49000000,43905746,26000,0
1977,500000,17000000,423,0
2008,21000000,3081925,22000,1
2000,23000000,13019253,327,0
2000,80000000,34566746,981,1
2007,5250000,766487,4000,0
2011,30000000,10134754,1000,0
2003,4500000,34468224,9000,1
1999,30000000,11900000,21000,0
2004,35000000,20422207,1000,0
2014,42000000,64238770,14000,0
2006,20000000,23292105,960,0
1998,55000000,22843047,852,0
2001,3000000,3293258,560,0
2000,15000000,4734235,555,0
2003,1650000,2580,2000,0
2011,37000000,33037754,12000,0
2003,52000000,23020488,961,0
2012,45000000,18996755,6000,1
2010,1700000,183490,38,0
2011,13000000,301305,306,0
2006,4000000,15655665,690,0
2010,80000000,127968405,29000,1
1984,15000000,15100000,695,0
2001,10000000,488872,478,1
2006,12000000,27829874,26000,0
2001,24000000,20218,1000,0
2012,17000000,64998368,10000,1
2006,1000000,144431,102,1
1992,40000000,45500797,472,0
2004,40000000,95149435,11000,0
1999,10000000,30651422,13000,1
2014,600000,35688,247,0
2015,20000000,44988180,745,1
2012,14000000,49122319,941,0
2007,7300000,4443403,963,1
2009,7500000,9176553,13000,1
2003,90000000,75817994,691,0
2009,40000000,19406406,67,1
2004,18000000,16702864,17000,0
2013,20000000,32014289,31000,0
2005,35000000,19447478,1000,0
2013,1000000,4231500,638,1
1996,28000000,11030963,25000,1
1996,30000000,4357000,3000,0
2001,25000000,5516708,849,0
2014,13200000,52543632,1000,0
1999,13000000,22858926,512,1
1994,25000000,28341469,11000,1
2003,20000000,47887943,3000,0
2003,17000000,22734486,593,0
2013,20000000,26003149,177,0
1996,12000000,4903000,873,0
1998,10000000,9473382,24,1
2002,250000,3799339,94,1
2004,40000000,21176322,1000,0
2013,92000000,67344392,13000,0
2012,3800000,610968,74,1
2008,1000000,2957978,41,1
2008,37000000,30105968,541,0
2009,35000000,10991381,2000,1
1997,365000,489220,686,1
2000,10000000,3041803,902,1
2004,10000000,110175871,4000,0
2009,39000000,63411478,152,1
2005,1500000,49000,724,0
1988,6500000,14545844,413,0
2005,3000000,11694528,989,1
2009,4500000,108229,14000,0
1995,25000000,4064333,6000,0
2009,4000000,274385,595,1
2011,7000000,1738692,3000,1
2011,36000000,1068392,877,0
2008,40000000,19151864,1000,0
2012,2500000,1163508,1000,0
2012,25000000,30920167,1000,0
2012,60000000,55994557,10000,0
2004,9000000,18225165,982,1
2013,6000000,7186670,640,0
2004,4000000,228524,374,1
2015,40000000,72306065,15000,1
2002,40000000,4835968,3000,0
1999,7500000,12610552,488,0
2015,40000000,5773519,11000,0
2014,20000000,5749134,1000,0
2008,10800000,56729973,3000,0
2011,9000000,11860839,2000,0
1996,60000000,60573641,854,0
1980,27000000,54200000,1000,1
2008,12000000,31397498,17000,0
1998,60000,3216970,1000,1
2014,18000000,42335698,15000,1
2006,9800000,56437947,326,1
1994,4500000,52700832,1000,1
2008,8000000,17427926,960,0
2016,40000000,102310175,1000,1
2006,40000000,70163652,17000,0
2006,40000000,50859889,708,1
2014,8000000,52961,144,0
1979,8000000,36500000,16000,1
2011,79000000,74158157,14000,0
2016,18500000,6462576,241,0
2000,85000000,66941559,2000,0
1992,40000000,14358033,782,0
1996,18000000,4414535,597,1
2010,25000000,24042490,3000,0
2005,54000000,70496802,20000,1
1997,1000000,94596,89,1
2015,25000000,42478175,11000,1
2003,95000000,65653758,18000,0
2012,1200000,594904,1000,0
2002,16000000,16346122,835,1
1988,15000000,111936400,742,0
2007,75000000,66636385,22000,1
2002,13000000,46563158,991,1
2008,15500000,23213577,19000,1
2005,15000000,4006906,927,0
2004,10000000,6491350,886,0
2009,30000000,49185998,673,1
1993,14600000,70906973,13000,1
2012,6000000,5895238,8000,0
2011,24000000,9639242,2000,0
1999,500000,985341,980,1
2006,2500000,71904,640,0
2009,10000000,5004648,144,0
2011,63000000,108012170,989,0
2009,10000000,25464480,14000,0
1989,8000000,22168359,321,0
2004,12000000,31179516,1000,0
1998,5000000,1980338,624,0
2005,29000000,6301131,1000,1
1992,40000000,70100000,723,0
1999,65000000,36830057,1000,0
1994,55000000,42610000,437,0
2006,35000000,10139254,20000,1
2005,30000000,25472967,794,0
2012,225000,111300,2,1
2005,4800000,47277326,1000,0
2002,31000000,84961,5000,1
2006,2000000,11284657,380,1
1995,16500000,42700000,25000,1
2010,50000000,33643461,15000,0
2002,30000000,40566655,66,1
2006,35000000,11631245,2000,0
1989,2300000,792966,40,0
2005,9000000,1530535,745,0
1996,45000000,20400913,2000,0
2003,35000000,81257845,2000,1
1991,23000,1227508,5,1
1994,30000000,66528842,12000,1
1998,15000000,17411331,989,0
2003,500000,5739376,22000,1
2007,4600000,434417,13000,0
1991,23000000,7434726,1000,0
2002,25000000,39880476,1000,0
2013,18000000,33404871,594,1
2002,41000000,116724075,1000,0
1984,6500000,38400000,2000,1
2011,60000000,29136626,865,0
2007,600000,23616,23,0
2001,1200000,18488314,816,1
2012,55000000,9483821,13000,0
2009,7000000,9166863,14000,1
2014,5000000,37440,745,1
1997,20000000,10569071,11000,1
2000,4500000,3609278,1000,1
1989,27800000,55210049,12000,0
2008,10000000,578527,603,0
2005,2000000,1900725,1000,1
2002,8000000,45063889,133,1
2005,9000000,1046166,922,0
1993,22000000,96067179,14000,1
2005,1750211,1523883,15,1
1999,16000000,15500000,599,0
2007,26000000,3675072,11000,1
2004,40000000,75305995,904,1
1996,13000000,26539321,694,0
2008,40000000,46012734,1000,0
1988,14000000,34700000,18000,1
2005,88000000,37899638,13000,0
2003,850000,819939,23000,1
2008,2500000,75727,426,0
2005,30000000,8535575,11000,0
2001,22000000,55762229,436,0
2010,28000000,24268828,1000,0
2003,40000000,59588068,21000,0
2011,6600000,37295394,1000,0
2007,16000000,634277,809,1
1996,8500000,15171475,1000,0
2010,20000000,117224271,608,1
2001,15500000,313436,117,1
2010,15000000,2412045,10000,1
1980,3500000,83400000,628,1
1998,15000000,10443316,925,0
1995,2500000,5400000,15,1
2012,1800000,12784397,2000,1
2013,10000000,28873374,773,0
2011,10000000,2331318,982,0
2015,35000000,10214013,1000,0
2004,40000000,12181484,1000,0
2004,6000000,119078393,503,1
2001,35000000,60400856,11000,0
2007,6000000,872643,532,0
2011,25000000,13651662,27000,1
2010,60000000,60128566,14000,0
2011,6000000,5359774,3000,1
2014,3300000,13092000,24000,1
2000,9000000,20035310,3000,0
2011,60000,40557,968,0
2001,45000000,32095318,1000,0
2007,17000000,82234139,14000,1
1995,800000,4771000,529,1
1996,4000000,2892582,925,1
2002,20000000,75597042,2000,0
2002,35000000,32519322,396,1
2014,25000000,33631221,3000,0
2012,12000000,25240988,28,0
1994,16000000,127175354,879,1
2005,88000000,61644321,680,1
1997,15000000,26384919,3000,1
2002,825000,15278,284,0
1997,28000000,8119205,1000,0
1998,48000000,37339525,3000,0
1981,6000000,25244700,742,1
1992,8000000,6739141,1000,0
2011,10000000,46377022,1000,1
2005,60000000,28031250,12000,0
1999,6000000,4394936,4000,0
2002,15000000,13060843,22000,1
2003,25000000,30222640,2000,0
2000,8000000,5018450,1000,0
2000,32000000,48814909,22000,1
2003,55000000,33828318,13000,0
2014,50000000,47553512,490,0
2005,50000000,66002004,660,0
1996,19000000,25753840,16000,1
1994,35000000,33423521,2000,0
1982,16000000,54000000,844,1
2014,6000000,20200,11000,0
1999,8000000,17843379,452,0
1987,10000000,3060858,754,0
2009,65000000,67128202,12000,0
2009,35000000,73023275,3000,0
1999,15000000,11614236,12000,0
1997,93000000,63540020,14000,1
1995,52000000,42438300,22000,1
2015,30000000,17750583,14000,1
1996,45000000,92001027,1000,1
2004,90000000,59475623,11000,0
2016,5000000,20773070,634,0
1999,70000000,23159305,14000,1
2006,70000000,42272747,3000,0
2015,1900000,444044,628,1
2003,20000000,15408822,651,0
1978,24000000,13000000,738,0
1995,7000000,25625110,16000,1
2009,25000000,25615792,756,0
2000,22000000,13555988,554,0
2012,10000000,21589307,11000,1
2003,41000000,22108977,687,0
1997,40000000,45856732,13000,1
1998,17000000,16311763,989,1
2016,7000000,1330827,18000,0
2015,7000000,17474107,637,1
2006,6000000,17605861,1000,1
2012,850000,1243961,938,0
1999,60000000,22326247,978,0
2008,11000000,90556401,755,0
2012,30000000,42043633,26000,0
2004,26000000,14469428,826,0
1993,2500000,15935068,935,0
2008,37000000,48006503,18000,0
2001,11000000,23978402,584,0
1993,32000000,36733909,344,1
2011,15000000,13766014,11000,0
2004,42000000,87856565,22000,0
1987,15000000,59735548,1000,1
2002,26000000,36985501,2000,0
2001,4000000,10097096,522,0
2013,6000000,8828771,20000,0
1994,20000000,11784000,400,0
2009,50000000,73343413,18000,1
1986,15000000,1953732,876,0
2001,45000000,76261036,18000,1
2001,38000000,24044532,308,0
2002,46000000,67263182,14000,1
2007,35000000,5932060,14000,0
1998,15000000,17439163,22000,1
1999,17000000,65535067,1000,0
2003,3200000,8243880,658,0
2009,58000000,29580087,963,0
1995,50000000,81022333,426,0
2015,10000000,531009,11000,0
2000,34000000,6543194,818,0
2004,20000000,51431160,1000,0
2007,8000000,23618786,175,1
2007,2600000,38108,123,1
2007,16500000,18663911,11000,1
2010,19900000,252652,29,0
1998,1000000,982214,245,1
2000,43000000,37035515,12000,0
2011,25000000,18860403,963,0
2002,10000000,8111360,460,1
2002,80000000,56684819,891,0
2012,13000000,17738570,8000,1
1988,2800000,19170001,935,0
1998,80000000,18318000,1000,0
2014,9000000,162,2000,0
2007,10000000,63270259,723,0
1997,45000000,65557989,2000,0
2000,15000000,26421314,193,0
2000,20000000,17804273,12000,0
2004,11000000,3753806,979,1
2006,13500000,37623143,634,1
2009,27000000,1260917,1000,1
1993,19000000,2119994,2,0
2007,2000000,1134049,168,1
2001,52500000,57386369,1000,1
2006,19400000,8047690,2000,1
2001,72000000,112950721,1000,0
2011,20000000,17149,567,0
1990,54000000,66676062,14000,1
1992,13000000,11501093,901,1
2008,6500000,4693919,1000,0
2009,75000000,120523073,13000,1
1982,4000000,36200000,72,0
2001,5500000,56007,4000,0
1988,25000000,16118077,967,0
2004,3500000,96793,4000,0
1995,5000000,15126948,742,0
2003,80000000,116643346,10000,0
2008,45000000,7916887,23000,0
2004,30000000,85416609,19000,0
1980,6000000,54800000,2000,1
1999,8000000,4692814,883,0
2004,500000,603943,710,1
2009,7300000,1818681,788,1
1999,6500000,10149779,730,0
2002,1600000,39659,14,0
1984,25000000,8600000,14000,0
2011,18000000,43853424,2000,1
1998,960000,3650677,26000,1
2000,75000000,68473360,867,0
2007,15000000,18352454,17000,1
1997,10000000,12514138,962,1
2001,40000000,4777007,545,0
1996,80000000,32885565,13000,0
2002,15600000,13571817,890,0
1994,2000000,11546543,483,1
2009,40000000,13838130,14000,0
2010,3200000,5776314,1000,1
2015,20000000,6420319,1000,1
2006,13000000,1150403,2000,1
1992,10000000,32101000,535,0
1988,28000000,81350242,25000,1
1994,50000000,38590500,854,0
1999,2200000,104257,798,1
2002,35000000,30307804,775,0
1998,25000000,100241322,1000,1
2005,25000000,5654777,843,0
2008,35000000,25871834,1000,0
1994,8000000,107930000,13000,1
1991,8000000,2275557,1000,0
2008,35000000,18593156,2000,1
2002,30000000,12987647,3000,1
2004,30000000,14018364,976,0
1997,3000000,3559990,578,0
2000,1500000,1221261,827,1
2009,15000000,33386128,908,0
1994,5000000,3049135,14000,1
2010,500000,98017,353,0
2010,95000000,88761720,8000,0
1994,23000000,50693162,720,1
2002,3000000,5844929,953,0
2016,38000000,34912982,17000,0
2009,11000000,27669413,723,0
2011,70000000,48430355,17000,0
2003,500000,30500882,48,0
2013,1500000,3447339,801,0
2001,40000000,27053815,964,0
2014,55000000,76137505,838,1
1979,31500000,78800000,11000,1
2001,33000000,51758599,2000,0
1999,22000000,9694105,3000,0
2010,3000000,84749884,438,0
1999,65000000,55637680,10000,1
1995,90000000,100012500,13000,1
1993,6900000,7993039,14000,1
1999,14000000,30628981,8000,0
2004,59660000,18947630,21,1
2015,25000000,16027866,805,0
2002,2000000,768045,773,1
2005,40000000,19118247,1000,0
2010,20000000,25677801,2000,0
2000,2000000,5383834,85,1
2007,3400000,7159147,382,1
1999,24000000,8427204,512,0
2011,80000000,80360866,3000,0
2008,6000000,36497,11000,0
2009,3800000,100669,22000,0
2005,28000000,38372662,422,1
2004,37000000,69148997,1000,0
2014,22000000,59696176,329,0
1996,47000000,5600000,8000,0
2004,13000000,23947,8000,1
2006,9000000,16235293,607,0
2005,25000000,5128124,12000,1
2010,1800000,40990055,463,0
2002,30000000,17266505,19000,0
1996,13000000,2104000,979,0
2003,55000000,34238611,933,0
2014,10000000,14479776,11000,0
2013,8000000,17536788,434,1
2000,45000000,106793915,579,0
2014,5000000,830210,578,0
2011,42000000,37652565,10000,0
1998,45000000,11146409,3000,0
2003,26000000,47285499,1000,0
2010,20000000,62933793,742,0
2007,850000,442638,465,1
2013,250000,49494,924,0
2006,52000000,118683135,4000,0
2002,12500000,21078145,18000,1
2011,49900000,21557240,20000,0
1982,11000000,78900000,12000,1
2000,40000000,37752931,24000,0
2008,25000000,80034302,2000,0
2002,30000000,40118420,585,0
1996,39000000,30400000,592,0
1986,2700000,3500000,1000,0
2011,20000000,23179303,3000,0
1996,18000000,26906039,844,0
1992,11000000,52929168,886,1
2011,750000,77501,969,0
1998,25000000,30012990,288,1
1995,6000000,23272306,18000,1
2011,15000000,28870,17000,0
2000,6000000,30093107,26000,1
2004,7000000,2921738,8000,1
2009,55000000,16088610,939,0
1997,25000,2856622,136,1
2012,20000000,17529157,991,0
2002,3300000,7563397,1000,1
2004,12800000,1110186,717,1
1999,42000000,116006080,8000,0
2000,24000000,5108820,12000,0
2015,34000000,37432299,989,1
1997,18000000,7837632,805,1
1995,72000000,75600000,906,1
2013,80000000,36073232,882,0
2012,15000000,14989761,2000,1
1994,45000000,57362581,13000,0
2006,3000000,252726,702,1
2015,30000000,71038190,598,0
1996,15000000,103001286,611,1
2005,6800000,49526,710,0
2008,15000000,15700000,10000,1
2009,5000000,5009677,18000,1
2002,12000000,25776062,4000,1
1999,40000000,33864342,711,0
1988,12500000,48092846,912,1
1989,7500000,106593296,11000,1
1987,15000000,43848100,826,1
1993,3000000,3902679,687,0
1993,23500000,10696210,1000,0
2005,50000000,24127895,12000,1
2005,10000000,11703287,772,0
2002,17000000,37939782,1000,0
1999,24000000,28871190,11000,1
2013,12000000,17613460,1000,1
2003,60000000,31111260,894,0
2002,30000000,65010106,442,1
2014,70000000,18821279,576,0
1996,50000000,70450000,848,0
2013,30000000,35266619,17000,0
1987,3000000,7888703,641,0
1998,50000000,44484065,18000,1
2015,10000000,5348317,14000,1
2006,64000000,58255287,979,0
2012,40000000,41102171,10000,0
1995,6500000,82528097,975,1
1999,30000000,11576087,811,0
2001,5000000,6755271,847,0
2013,40000000,57011847,3000,0
2000,20000000,27277055,1000,1
2008,5000000,13350177,1000,0
1991,38000000,35183792,720,1
2008,40000000,9589875,2000,1
2012,2500000,33349949,871,0
1996,45000000,20101861,905,0
1985,6900000,41400000,16000,1
2004,13500000,5501940,918,1
2001,42000000,16252765,11000,0
1980,18000000,45250,22000,1
1991,25000000,78656813,642,0
2014,50000000,47105085,21000,1
2004,24000000,42880,22000,0
1999,5000000,19421271,2000,0
2012,16000000,2964,1000,0
2007,25000000,49024969,1000,1
2013,35000000,8324748,113,1
1983,25000000,44700000,14000,1
1999,10000000,63319509,23000,0
2001,30000000,80920948,770,0
2005,40000000,74098862,3000,1
2004,70000000,77862546,18000,1
2010,52000000,110476776,14000,0
2008,23000000,11508423,721,0
2011,40000000,57981889,11000,1
2005,50000000,80270227,631,0
2012,40000000,18438149,61,0
2002,15000000,47811275,934,0
1999,38000000,50668906,18000,1
2005,3000000,2912363,113,1
2003,30000000,70098138,926,1
2011,30000000,21426805,614,0
2014,95000000,17176900,12000,0
2014,50000000,50150619,17000,1
1987,1000000,14564027,266,0
2001,18000000,15561627,16000,1
1997,6000000,14821531,2000,1
2005,35000000,18324242,10000,1
2006,28000000,17324744,806,0
1993,10000000,18272447,556,0
2010,6800000,6857096,131,1
2008,10000000,128486,398,1
2006,1000000,721,563,0
2002,14000000,25482931,706,0
1985,3000000,20966644,687,1
2001,34000000,19693891,973,0
2014,22000000,54235441,820,1
2005,1500000,100358,374,0
2001,7000000,6173485,56,1
2012,35000000,13101142,18000,0
2014,5000000,18656400,17000,1
2011,5000000,104007828,581,0
2012,1000000,53245055,403,0
2002,35000000,54228104,15000,1
1996,50000000,20550712,18000,0
2014,5000000,32453345,510,0
1995,35000000,60054449,900,0
1997,35000000,6448817,690,0
2008,34000000,15081783,6,1
2006,40000000,53082743,23000,1
2013,8000000,16168741,480,1
2008,20000000,31838002,11000,1
2012,16000000,45507053,13000,1
1994,15000000,50003300,23000,1
2000,95000000,73209340,833,0
2008,70000000,70224196,11000,0
1991,6000000,869325,721,0
1997,35000000,64604977,18000,1
2001,1700000,35918429,1000,1
1998,70000000,101217900,770,0
2000,45000000,60786269,811,0
2004,8550000,4992159,861,0
2002,8000000,3076425,963,1
2010,24000000,25003072,3000,0
1998,4500000,23031390,1000,0
2010,90000000,190562,887,0
2006,51000000,72601713,677,0
2014,14000000,91121452,19000,1
2010,10000000,7691700,1000,1
2005,20000000,46363118,526,0
1993,26000000,77324422,18000,1
2015,450000,34151,3,1
2006,50000000,22518325,19000,0
1999,23000000,10660147,327,1
2000,23000000,39235088,14000,1
2004,17000000,86049418,2000,0
2009,13000000,6615578,577,0
1993,25000000,10769960,854,1
2015,3500000,29233,21,0
2001,50000000,33422806,1000,0
2013,90000000,68558662,8000,0
1989,11000000,49797148,1000,1
2000,8000000,16938179,14000,0
2002,5300000,3895664,809,1
2011,36000000,45045037,966,0
2003,76000000,127083765,23000,0
2012,35000000,183125,12000,0
2007,40000000,128978,5000,1
2000,15000000,128067808,103,1
2010,12000000,4018695,8000,1
2005,15000000,5023275,572,1
2008,45000000,101702060,14000,0
2003,17000000,37566230,818,0
2004,65000,11529368,0,1
2008,37000000,60338891,24000,0
1982,15000000,13782838,957,1
1999,34000000,11227940,372,0
2005,30000000,32048809,730,0
2004,70000000,51225796,18000,1
2006,85000000,62494975,584,0
2006,30000000,22526144,973,0
2012,5000000,14123773,11000,0
1991,35000000,14587732,605,0
2009,40000000,94125426,11000,0
2000,6000000,8596914,697,0
1995,6000000,2122561,1000,1
2001,92000000,26871,11000,0
2009,18000000,23993605,390,0
2014,5000000,10429707,589,0
2000,1800000,3050934,767,1
2000,52000000,125548685,8000,1
1994,27000000,44450000,664,0
2006,14000000,11204499,12000,0
2008,12500000,9030581,77,1
1997,36000000,44175394,12000,1
2003,20000000,67325559,596,1
2004,30000000,66207920,890,1
1987,23000000,43984230,1000,1
2009,23600000,75590286,15000,1
2008,48000000,64505912,11000,0
2009,45000000,25200412,1000,0
2011,50000000,10706786,12000,0
1998,80000000,69102910,10000,0
1999,4000000,399793,2000,0
2002,7500000,10460089,673,1
2010,85000000,43575716,975,0
1997,50000000,41256277,294,0
2013,35000000,83299761,15000,1
2008,15000000,12701880,354,0
1993,17000000,42660000,533,0
2016,3000000,3105269,574,0
2004,27000000,33987757,20000,1
2013,19000000,21483154,876,1
1993,13000000,12281500,11000,1
2011,66000000,79883359,25000,1
2009,160000,155984,58,1
2009,25000000,83813460,24000,1
1987,25000000,76270454,22000,1
2012,7000000,40983001,15000,1
2010,20000000,36658108,759,0
2003,20000000,35990505,14000,0
2006,15000000,31471430,97,1
2015,15000000,25440971,149,1
2009,42000000,59992760,468,0
2007,590000,1185783,131,1
2015,35000000,34531832,10000,1
2008,5000000,124720,3000,1
